Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol
2024-04-01 00:00:00-04:00,278.283852572807,278.80995687590814,274.74031229867785,276.2192687988281,5084000,0.0,0.0,V
2024-04-02 00:00:00-04:00,275.9413381657581,277.26147584379214,274.9289024342941,276.3780822753906,6912300,0.0,0.0,V
2024-04-03 00:00:00-04:00,278.40297992515497,278.40297992515497,274.5119952671393,274.9090270996094,4536600,0.0,0.0,V
2024-04-04 00:00:00-04:00,276.2986456091604,277.0133150034197,271.5342031751562,271.970947265625,4018600,0.0,0.0,V
2024-04-05 00:00:00-04:00,274.05540055806193,275.9016121454803,272.9933169674919,275.08770751953125,4388100,0.0,0.0,V
2024-04-08 00:00:00-04:00,274.20426689585616,275.92146651297065,273.1124067431124,275.7030944824219,5542400,0.0,0.0,V
2024-04-09 00:00:00-04:00,275.5740716977067,275.9413268904394,271.29599095953074,274.6708068847656,7314300,0.0,0.0,V
2024-04-10 00:00:00-04:00,273.38042908025005,274.7700555179492,272.0900378732845,272.4473876953125,5276000,0.0,0.0,V
2024-04-11 00:00:00-04:00,271.97093700967133,274.4325826729777,270.1644074573639,273.63848876953125,8102300,0.0,0.0,V
2024-04-12 00:00:00-04:00,273.50944491021113,274.94871927576156,272.03048856842486,273.9164123535156,9037900,0.0,0.0,V
2024-04-15 00:00:00-04:00,275.8321855931941,275.8520265843716,268.3380766216953,269.2711181640625,10267500,0.0,0.0,V
2024-04-16 00:00:00-04:00,268.53657689337035,272.0999882084728,268.16932170338504,269.340576171875,8237100,0.0,0.0,V
2024-04-17 00:00:00-04:00,271.2760919450729,271.9709202814032,269.4894337824853,270.6706237792969,5940900,0.0,0.0,V
2024-04-18 00:00:00-04:00,270.55153832645533,271.127229910704,267.8615849423748,269.36041259765625,8231800,0.0,0.0,V
2024-04-19 00:00:00-04:00,269.4596835055519,269.9857574831018,266.3032396402522,267.7821960449219,7826200,0.0,0.0,V
2024-04-22 00:00:00-04:00,268.94353825582135,271.7327268583337,267.36528607214996,270.31329345703125,6463700,0.0,0.0,V
2024-04-23 00:00:00-04:00,271.9808429030595,272.85433095552474,270.69045181043344,272.080078125,6438000,0.0,0.0,V
2024-04-24 00:00:00-04:00,280.47747565246095,280.904284079138,272.457293970589,272.9833679199219,8807200,0.0,0.0,V
2024-04-25 00:00:00-04:00,270.94859055892607,274.1745235016619,268.4869446699591,273.12237548828125,8064600,0.0,0.0,V
2024-04-26 00:00:00-04:00,272.97345250247145,274.7203984121185,271.8021678448736,272.487060546875,6840600,0.0,0.0,V
2024-04-29 00:00:00-04:00,270.303391166951,272.4374636756817,269.08248880269224,269.8269348144531,4128600,0.0,0.0,V
2024-04-30 00:00:00-04:00,268.5266140386965,270.06512354124806,266.5910424656695,266.6208190917969,6376400,0.0,0.0,V
2024-05-01 00:00:00-04:00,266.1642638601328,268.9038349369009,264.7349250628265,265.3404235839844,6119900,0.0,0.0,V
2024-05-02 00:00:00-04:00,267.3553701208076,267.4744766299644,264.6753524984426,265.62823486328125,5061700,0.0,0.0,V
